case,event,time,lifecycle:transition,amount,paymentAmount,expense,org:resource,article,notificationType,matricola,vehicleClass,totalPaymentAmount,lastSent,dismissal,points
A1656,Add penalty,2007/03/21 00:00:00.000,COMPLETE,71.5,,,,,,,,,,,
A1656,Payment,2008/09/29 00:00:00.000,COMPLETE,,82.5,,,,,,,82.5,,,
A16561,Create Fine,2007/06/26 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16561,Send Fine,2007/09/13 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16561,Insert Fine Notification,2007/09/22 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16561,Add penalty,2007/11/21 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16561,Payment,2007/11/26 00:00:00.000,COMPLETE,,49.0,,,,,,,49.0,,,
A16561,Payment,2007/12/17 00:00:00.000,COMPLETE,,38.0,,,,,,,87.0,,,
A16562,Create Fine,2007/06/26 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16562,Payment,2007/06/27 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16563,Create Fine,2007/06/26 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16563,Payment,2007/07/03 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16564,Create Fine,2007/06/26 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16564,Payment,2007/06/30 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16565,Create Fine,2007/06/26 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16565,Send Fine,2007/09/13 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16568,Create Fine,2007/06/26 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16568,Send Fine,2007/09/13 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16568,Insert Fine Notification,2007/09/22 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16568,Insert Date Appeal to Prefecture,2007/10/18 00:00:00.000,COMPLETE,,,,,,,,,,,,
A16568,Add penalty,2007/11/21 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16568,Send Appeal to Prefecture,2007/11/30 00:00:00.000,COMPLETE,,,,,,,,,,,#,
A16569,Create Fine,2007/06/26 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16569,Payment,2007/06/27 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16570,Create Fine,2007/06/26 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16570,Payment,2007/07/02 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16571,Create Fine,2007/06/28 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16571,Payment,2007/07/03 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16572,Create Fine,2007/06/28 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16572,Payment,2007/06/28 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16574,Create Fine,2007/06/28 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16574,Send Fine,2007/09/13 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16574,Insert Fine Notification,2007/09/25 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16574,Add penalty,2007/11/24 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16574,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A16576,Create Fine,2007/06/28 00:00:00.000,COMPLETE,22.0,,,562,7,,,A,0.0,,NIL,0
A16576,Payment,2007/07/02 00:00:00.000,COMPLETE,,22.0,,,,,,,22.0,,,
A1658,Create Fine,2006/08/06 00:00:00.000,COMPLETE,35.0,,,562,157,,,A,0.0,,NIL,0
A1658,Send Fine,2006/12/13 00:00:00.000,COMPLETE,,,11.0,,,,,,,,,
A1658,Insert Fine Notification,2007/01/04 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A1658,Add penalty,2007/03/05 00:00:00.000,COMPLETE,71.5,,,,,,,,,,,
A1658,Payment,2007/05/03 00:00:00.000,COMPLETE,,46.0,,,,,,,46.0,,,
A1658,Payment,2007/06/07 00:00:00.000,COMPLETE,,36.5,,,,,,,82.5,,,
A16581,Create Fine,2007/06/28 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16581,Send Fine,2007/09/13 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16581,Insert Fine Notification,2007/10/12 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16581,Add penalty,2007/12/11 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16581,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A16582,Create Fine,2007/06/28 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16582,Send Fine,2007/09/13 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16582,Insert Fine Notification,2007/10/04 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16582,Add penalty,2007/12/03 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16582,Payment,2008/02/29 00:00:00.000,COMPLETE,,49.0,,,,,,,49.0,,,
A16582,Payment,2008/04/02 00:00:00.000,COMPLETE,,38.0,,,,,,,87.0,,,
A16583,Create Fine,2007/06/28 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16583,Send Fine,2007/09/13 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16583,Insert Fine Notification,2007/09/25 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16583,Add penalty,2007/11/24 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16583,Payment,2008/03/31 00:00:00.000,COMPLETE,,49.0,,,,,,,49.0,,,
A16583,Payment,2008/05/07 00:00:00.000,COMPLETE,,38.0,,,,,,,87.0,,,
A16584,Create Fine,2007/06/28 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16584,Payment,2007/07/05 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16586,Create Fine,2007/06/29 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16586,Send Fine,2007/09/13 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16586,Insert Fine Notification,2007/09/28 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16586,Add penalty,2007/11/27 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16586,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A16588,Create Fine,2007/06/29 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16588,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16590,Create Fine,2007/06/29 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16590,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16590,Insert Fine Notification,2007/10/06 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16590,Add penalty,2007/12/05 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16590,Payment,2008/01/25 00:00:00.000,COMPLETE,,49.0,,,,,,,49.0,,,
A16590,Payment,2008/02/19 00:00:00.000,COMPLETE,,38.0,,,,,,,87.0,,,
A16592,Create Fine,2007/06/29 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16592,Payment,2007/07/04 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16595,Create Fine,2007/06/29 00:00:00.000,COMPLETE,36.0,,,562,7,,,A,0.0,,NIL,0
A16595,Payment,2007/06/30 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16597,Create Fine,2007/06/29 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16597,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16597,Insert Fine Notification,2007/10/22 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16597,Add penalty,2007/12/21 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16597,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A16599,Create Fine,2007/06/30 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16599,Payment,2007/07/06 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A166,Create Fine,2006/08/06 00:00:00.000,COMPLETE,35.0,,,541,7,,,A,0.0,,NIL,0
A166,Send Fine,2006/12/12 00:00:00.000,COMPLETE,,,11.0,,,,,,,,,
A166,Insert Fine Notification,2007/01/03 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A166,Add penalty,2007/03/04 00:00:00.000,COMPLETE,71.5,,,,,,,,,,,
A166,Payment,2008/10/13 00:00:00.000,COMPLETE,,82.5,,,,,,,82.5,,,
A16600,Create Fine,2007/06/30 00:00:00.000,COMPLETE,36.0,,,562,157,,,A,0.0,,NIL,0
A16600,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16600,Insert Fine Notification,2007/10/12 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16600,Add penalty,2007/12/11 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16600,Payment,2007/12/27 00:00:00.000,COMPLETE,,49.0,,,,,,,49.0,,,
A16600,Payment,2008/01/31 00:00:00.000,COMPLETE,,38.0,,,,,,,87.0,,,
A16602,Create Fine,2007/07/04 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16602,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16602,Insert Fine Notification,2007/10/13 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16602,Add penalty,2007/12/12 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16602,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A16604,Create Fine,2007/07/06 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16604,Send Fine,2007/12/10 00:00:00.000,COMPLETE,,,18.6,,,,,,,,,
A16605,Create Fine,2007/07/06 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16605,Payment,2007/07/09 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16606,Create Fine,2007/07/06 00:00:00.000,COMPLETE,36.0,,,563,7,,,A,0.0,,NIL,0
A16606,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16611,Create Fine,2007/07/06 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16611,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16612,Create Fine,2007/07/06 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16612,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16615,Create Fine,2007/07/06 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16615,Payment,2007/07/13 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16617,Create Fine,2007/07/07 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16617,Send Fine,2007/09/13 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16617,Insert Fine Notification,2007/10/05 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16617,Add penalty,2007/12/04 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16617,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A16618,Create Fine,2007/07/07 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16618,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16618,Insert Fine Notification,2007/10/05 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16618,Add penalty,2007/12/04 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16618,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A1662,Create Fine,2006/08/06 00:00:00.000,COMPLETE,35.0,,,562,157,,,A,0.0,,NIL,0
A1662,Send Fine,2006/12/13 00:00:00.000,COMPLETE,,,11.0,,,,,,,,,
A1662,Insert Fine Notification,2007/01/13 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A1662,Add penalty,2007/03/14 00:00:00.000,COMPLETE,71.5,,,,,,,,,,,
A1662,Payment,2007/03/29 00:00:00.000,COMPLETE,,49.25,,,,,,,49.25,,,
A1662,Payment,2007/05/08 00:00:00.000,COMPLETE,,33.25,,,,,,,82.5,,,
A16621,Create Fine,2007/07/07 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16621,Payment,2007/07/10 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16623,Create Fine,2007/07/07 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16623,Payment,2007/07/11 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16624,Create Fine,2007/07/07 00:00:00.000,COMPLETE,36.0,,,563,7,,,A,0.0,,NIL,0
A16624,Payment,2007/07/13 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16625,Create Fine,2007/07/07 00:00:00.000,COMPLETE,36.0,,,563,7,,,A,0.0,,NIL,0
A16625,Send Fine,2007/09/13 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16625,Insert Fine Notification,2007/09/21 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16625,Add penalty,2007/11/20 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16625,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A16628,Create Fine,2007/07/08 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16628,Payment,2007/07/10 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A1663,Create Fine,2006/08/06 00:00:00.000,COMPLETE,35.0,,,562,157,,,A,0.0,,NIL,0
A1663,Send Fine,2006/12/13 00:00:00.000,COMPLETE,,,11.0,,,,,,,,,
A1663,Insert Fine Notification,2007/01/03 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A1663,Add penalty,2007/03/04 00:00:00.000,COMPLETE,71.5,,,,,,,,,,,
A1663,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A16630,Create Fine,2007/07/08 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16630,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16630,Insert Fine Notification,2007/10/16 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16630,Add penalty,2007/12/15 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16630,Payment,2008/01/07 00:00:00.000,COMPLETE,,49.0,,,,,,,49.0,,,
A16630,Payment,2008/02/06 00:00:00.000,COMPLETE,,38.0,,,,,,,87.0,,,
A16632,Create Fine,2007/07/08 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16632,Payment,2007/07/13 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16637,Create Fine,2007/07/08 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16637,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16637,Insert Fine Notification,2007/10/15 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16637,Add penalty,2007/12/14 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16637,Payment,2008/09/03 00:00:00.000,COMPLETE,,87.0,,,,,,,87.0,,,
A16638,Create Fine,2007/07/09 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16638,Payment,2007/07/10 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16639,Create Fine,2007/07/09 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16639,Payment,2007/07/19 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A1664,Create Fine,2006/08/06 00:00:00.000,COMPLETE,35.0,,,562,157,,,A,0.0,,NIL,0
A1664,Payment,2006/08/08 00:00:00.000,COMPLETE,,35.0,,,,,,,35.0,,,
A16642,Create Fine,2007/07/09 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16642,Payment,2007/07/18 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16643,Create Fine,2007/07/09 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16643,Send Fine,2007/12/10 00:00:00.000,COMPLETE,,,18.6,,,,,,,,,
A16644,Create Fine,2007/07/09 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16644,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16645,Create Fine,2007/07/09 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16645,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16645,Insert Fine Notification,2007/10/13 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16645,Add penalty,2007/12/12 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16645,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A16646,Create Fine,2007/07/09 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16646,Send Fine,2007/09/13 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16646,Insert Fine Notification,2007/10/02 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16646,Add penalty,2007/12/01 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16646,Payment,2008/02/04 00:00:00.000,COMPLETE,,49.0,,,,,,,49.0,,,
A16646,Payment,2008/05/09 00:00:00.000,COMPLETE,,38.0,,,,,,,87.0,,,
A16647,Create Fine,2007/07/11 00:00:00.000,COMPLETE,36.0,,,563,7,,,A,0.0,,NIL,0
A16647,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16647,Insert Fine Notification,2007/10/12 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16647,Add penalty,2007/12/11 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16647,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A16648,Create Fine,2007/07/11 00:00:00.000,COMPLETE,36.0,,,563,7,,,A,0.0,,NIL,0
A16648,Payment,2007/07/16 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16649,Create Fine,2007/07/11 00:00:00.000,COMPLETE,36.0,,,563,7,,,A,0.0,,NIL,0
A16649,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16649,Insert Fine Notification,2007/10/12 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16649,Add penalty,2007/12/11 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16649,Payment,2008/09/03 00:00:00.000,COMPLETE,,87.0,,,,,,,87.0,,,
A16650,Create Fine,2007/07/11 00:00:00.000,COMPLETE,36.0,,,563,157,,,A,0.0,,NIL,0
A16650,Payment,2007/07/17 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16651,Create Fine,2007/06/28 00:00:00.000,COMPLETE,36.0,,,564,157,,,A,0.0,,NIL,0
A16651,Send Fine,2007/09/13 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16651,Insert Fine Notification,2007/10/02 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16651,Add penalty,2007/12/01 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16651,Payment,2008/10/15 00:00:00.000,COMPLETE,,87.0,,,,,,,87.0,,,
A16654,Create Fine,2007/06/28 00:00:00.000,COMPLETE,36.0,,,564,157,,,A,0.0,,NIL,0
A16654,Payment,2007/08/16 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16655,Create Fine,2007/06/28 00:00:00.000,COMPLETE,36.0,,,564,157,,,A,0.0,,NIL,0
A16655,Payment,2007/07/03 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16658,Create Fine,2007/06/28 00:00:00.000,COMPLETE,36.0,,,564,157,,,A,0.0,,NIL,0
A16658,Send Fine,2007/09/13 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16660,Create Fine,2007/06/28 00:00:00.000,COMPLETE,36.0,,,564,157,,,A,0.0,,NIL,0
A16660,Send Fine,2007/09/13 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16661,Create Fine,2007/06/28 00:00:00.000,COMPLETE,36.0,,,564,157,,,A,0.0,,NIL,0
A16661,Payment,2007/06/29 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16662,Create Fine,2007/06/28 00:00:00.000,COMPLETE,36.0,,,564,157,,,A,0.0,,NIL,0
A16662,Send Fine,2007/09/13 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16662,Insert Fine Notification,2007/10/14 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16662,Add penalty,2007/12/13 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16662,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A1667,Create Fine,2006/08/06 00:00:00.000,COMPLETE,35.0,,,562,157,,,A,0.0,,NIL,0
A1667,Send Fine,2006/12/13 00:00:00.000,COMPLETE,,,11.0,,,,,,,,,
A16678,Create Fine,2007/07/01 00:00:00.000,COMPLETE,36.0,,,564,157,,,A,0.0,,NIL,0
A16678,Send Fine,2007/09/13 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16678,Insert Fine Notification,2007/10/25 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16678,Add penalty,2007/12/24 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16678,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A16680,Create Fine,2007/07/01 00:00:00.000,COMPLETE,36.0,,,564,7,,,A,0.0,,NIL,0
A16680,Payment,2007/07/02 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16681,Create Fine,2007/07/01 00:00:00.000,COMPLETE,36.0,,,564,7,,,A,0.0,,NIL,0
A16681,Send Fine,2007/09/13 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16681,Insert Fine Notification,2007/10/03 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16681,Add penalty,2007/12/02 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16681,Payment,2008/01/04 00:00:00.000,COMPLETE,,49.0,,,,,,,49.0,,,
A16681,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A16685,Create Fine,2007/07/01 00:00:00.000,COMPLETE,36.0,,,564,157,,,A,0.0,,NIL,0
A16685,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16685,Insert Fine Notification,2007/10/05 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16685,Add penalty,2007/12/04 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16685,Payment,2008/05/19 00:00:00.000,COMPLETE,,49.0,,,,,,,49.0,,,
A16685,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A16686,Create Fine,2007/07/02 00:00:00.000,COMPLETE,36.0,,,564,157,,,A,0.0,,NIL,0
A16686,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16686,Insert Fine Notification,2007/10/23 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16686,Add penalty,2007/12/22 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16686,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A16687,Create Fine,2007/07/02 00:00:00.000,COMPLETE,36.0,,,564,157,,,A,0.0,,NIL,0
A16687,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16688,Create Fine,2007/07/02 00:00:00.000,COMPLETE,36.0,,,564,157,,,A,0.0,,NIL,0
A16688,Payment,2007/07/02 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16689,Create Fine,2007/07/02 00:00:00.000,COMPLETE,36.0,,,564,157,,,A,0.0,,NIL,0
A16689,Payment,2007/07/04 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A1669,Create Fine,2006/08/07 00:00:00.000,COMPLETE,35.0,,,562,157,,,A,0.0,,NIL,0
A1669,Send Fine,2006/12/13 00:00:00.000,COMPLETE,,,11.0,,,,,,,,,
A1669,Insert Fine Notification,2007/01/13 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A1669,Add penalty,2007/03/14 00:00:00.000,COMPLETE,71.5,,,,,,,,,,,
A1669,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A16692,Create Fine,2007/07/02 00:00:00.000,COMPLETE,36.0,,,564,157,,,A,0.0,,NIL,0
A16692,Payment,2007/07/03 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16694,Create Fine,2007/07/02 00:00:00.000,COMPLETE,36.0,,,564,157,,,A,0.0,,NIL,0
A16694,Payment,2007/07/13 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A16696,Create Fine,2007/07/02 00:00:00.000,COMPLETE,36.0,,,564,157,,,A,0.0,,NIL,0
A16696,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16696,Insert Fine Notification,2007/10/11 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16696,Add penalty,2007/12/10 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16696,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A16698,Create Fine,2007/07/02 00:00:00.000,COMPLETE,36.0,,,564,157,,,A,0.0,,NIL,0
A16698,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16698,Insert Fine Notification,2007/10/15 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16698,Insert Date Appeal to Prefecture,2007/10/29 00:00:00.000,COMPLETE,,,,,,,,,,,,
A16698,Add penalty,2007/12/14 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16698,Send Appeal to Prefecture,2011/12/25 00:00:00.000,COMPLETE,,,,,,,,,,,NIL,
A16699,Create Fine,2007/07/02 00:00:00.000,COMPLETE,36.0,,,564,157,,,A,0.0,,NIL,0
A16699,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A16699,Insert Fine Notification,2007/10/13 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A16699,Add penalty,2007/12/12 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A16699,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
