case,event,time,lifecycle:transition,amount,paymentAmount,expense,org:resource,article,notificationType,matricola,vehicleClass,totalPaymentAmount,lastSent,dismissal,points,TimeUnix
A15251,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15251,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1192060800
A15251,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1197244800
A15251,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15254,Create Fine,00:00.0,COMPLETE,36,,,557,7,,,A,0,,NIL,0,1183248000
A15254,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15254,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1192147200
A15254,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1197331200
A15254,Payment,00:00.0,COMPLETE,,49,,,,,,,49,,,,1197590400
A15255,Create Fine,00:00.0,COMPLETE,36,,,557,7,,,A,0,,NIL,0,1183248000
A15255,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15255,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1193011200
A15255,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1198195200
A15255,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15257,Create Fine,00:00.0,COMPLETE,36,,,557,7,,,A,0,,NIL,0,1183248000
A15257,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1189036800
A15258,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183248000
A15258,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15258,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1192060800
A15258,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1197244800
A15258,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A1526,Create Fine,00:00.0,COMPLETE,35,,,560,157,,,A,0,,NIL,0,1155513600
A1526,Send Fine,00:00.0,COMPLETE,,,11,,,,,,,,,,1165968000
A1526,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1169337600
A1526,Add penalty,00:00.0,COMPLETE,71.5,,,,,,,,,,,,1174521600
A1526,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15260,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183248000
A15260,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15261,Create Fine,00:00.0,COMPLETE,36,,,557,7,,,A,0,,NIL,0,1183248000
A15261,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15261,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1193011200
A15261,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1198195200
A15261,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15262,Create Fine,00:00.0,COMPLETE,36,,,557,7,,,A,0,,NIL,0,1183248000
A15262,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15262,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1192406400
A15262,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1197590400
A15262,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15263,Create Fine,00:00.0,COMPLETE,36,,,557,7,,,A,0,,NIL,0,1183248000
A15263,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15263,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1193011200
A15263,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1198195200
A15263,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15266,Create Fine,00:00.0,COMPLETE,36,,,557,7,,,A,0,,NIL,0,1183248000
A15266,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1183334400
A15267,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183248000
A15267,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1183507200
A15268,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183248000
A15268,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1189641600
A15268,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1192320000
A15268,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1197504000
A15268,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15269,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183248000
A15269,Send Fine,00:00.0,COMPLETE,,,18.6,,,,,,,,,,1197244800
A15269,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1198022400
A15269,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1203206400
A15269,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A1527,Create Fine,00:00.0,COMPLETE,35,,,560,157,,,A,0,,NIL,0,1155513600
A1527,Send Fine,00:00.0,COMPLETE,,,11,,,,,,,,,,1165968000
A1527,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1167436800
A1527,Add penalty,00:00.0,COMPLETE,71.5,,,,,,,,,,,,1172620800
A1527,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15271,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183248000
A15271,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1189641600
A15273,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183334400
A15273,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15273,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1193529600
A15273,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1198713600
A15273,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15278,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183334400
A15278,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1184112000
A15280,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183334400
A15280,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15281,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183420800
A15281,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15281,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1191542400
A15281,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1196726400
A15281,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15282,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183420800
A15282,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15282,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1192147200
A15282,Insert Date Appeal to Prefecture,00:00.0,COMPLETE,,,,,,,,,,,,,1196294400
A15282,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1197331200
A15282,Send Appeal to Prefecture,00:00.0,COMPLETE,,,,,,,,,,,#,,1197590400
A15283,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183420800
A15283,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15283,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1191542400
A15283,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1196726400
A15283,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15284,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183420800
A15284,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15284,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1191801600
A15284,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1196985600
A15284,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15285,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183420800
A15285,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1189641600
A15286,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183420800
A15286,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15286,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1192147200
A15286,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1197331200
A15286,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15288,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183420800
A15288,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15289,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183420800
A15289,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1189641600
A15289,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1191456000
A15289,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1196640000
A15289,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A1529,Create Fine,00:00.0,COMPLETE,35,,,560,157,,,A,0,,NIL,0,1155513600
A1529,Send Fine,00:00.0,COMPLETE,,,11,,,,,,,,,,1165968000
A15293,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183420800
A15293,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1183420800
A15297,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183420800
A15297,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1184025600
A15299,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1183420800
A15299,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15299,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1192147200
A15299,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1197331200
A15299,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A153,Create Fine,00:00.0,COMPLETE,21,,,541,7,,,A,0,,NIL,0,1154044800
A153,Send Fine,00:00.0,COMPLETE,,,11,,,,,,,,,,1165881600
A1530,Create Fine,00:00.0,COMPLETE,35,,,560,157,,,A,0,,NIL,0,1155513600
A1530,Payment,00:00.0,COMPLETE,,35,,,,,,,35,,,,1160438400
A15302,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1183075200
A15302,Send Fine,00:00.0,COMPLETE,,,18.6,,,,,,,,,,1191024000
A15302,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1192147200
A15302,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1197331200
A15302,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15303,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1183161600
A15303,Send Fine,00:00.0,COMPLETE,,,18.6,,,,,,,,,,1193788800
A15303,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1195344000
A15303,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1200528000
A15303,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15304,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1184544000
A15304,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1193788800
A15304,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1195948800
A15304,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1201132800
A15304,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15305,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1184544000
A15305,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1193788800
A15305,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1195084800
A15305,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1200268800
A15305,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15306,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1184544000
A15306,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1193788800
A15306,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1194912000
A15306,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1200096000
A15306,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15307,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1188604800
A15307,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1198713600
A15307,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1199491200
A15307,Appeal to Judge,00:00.0,COMPLETE,,,,0,,,0,,,,NIL,,1202169600
A15307,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1204675200
A15307,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1287100800
A15309,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1189641600
A15309,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1198713600
A15310,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1189641600
A15310,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1198713600
A15310,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1199318400
A15310,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1204502400
A15310,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15311,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1190505600
A15311,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1200614400
A15311,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1202774400
A15311,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1207958400
A15311,Payment,00:00.0,COMPLETE,,57,,,,,,,57,,,,1234396800
A15313,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1193184000
A15313,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1200614400
A15313,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1201651200
A15313,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1206835200
A15313,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15315,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1194134400
A15315,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1202515200
A15315,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1204156800
A15315,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1209340800
A15315,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15316,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1194220800
A15316,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1202515200
A15316,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1203724800
A15316,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1208908800
A15316,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15318,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1195516800
A15318,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1202515200
A15318,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1203638400
A15318,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1208822400
A15318,Payment,00:00.0,COMPLETE,,57,,,,,,,57,,,,1223078400
A15319,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1195948800
A15319,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1202515200
A1532,Create Fine,00:00.0,COMPLETE,35,,,560,157,,,A,0,,NIL,0,1155513600
A1532,Send Fine,00:00.0,COMPLETE,,,11,,,,,,,,,,1165968000
A15321,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1196380800
A15321,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1202515200
A15326,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1199750400
A15326,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1204329600
A15326,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1205971200
A15326,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1211155200
A15326,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15327,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1200700800
A15327,Send Fine,00:00.0,COMPLETE,,,18.6,,,,,,,,,,1212537600
A15327,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1213056000
A15327,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1218240000
A15327,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1287100800
A15328,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1200960000
A15328,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1204329600
A15329,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1201478400
A15329,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1204329600
A1533,Create Fine,00:00.0,COMPLETE,35,,,560,157,,,A,0,,NIL,0,1155513600
A1533,Send Fine,00:00.0,COMPLETE,,,16.6,,,,,,,,,,1175644800
A15331,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1202428800
A15331,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1212537600
A15331,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1212969600
A15331,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1218153600
A15331,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1287100800
A15332,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1202860800
A15332,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1212537600
A15332,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1212969600
A15332,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1218153600
A15332,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1287100800
A15334,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1203811200
A15334,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1212537600
A15334,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1213142400
A15334,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1218326400
A15334,Payment,00:00.0,COMPLETE,,57,,,,,,,57,,,,1248048000
A15336,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1206489600
A15336,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1212537600
A15336,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1213056000
A15336,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1218240000
A15336,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1287100800
A15337,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1206921600
A15337,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1212624000
A15337,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1214265600
A15337,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1219449600
A15337,Payment,00:00.0,COMPLETE,,57,,,,,,,57,,,,1249689600
A15339,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1208390400
A15339,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1212624000
A1534,Create Fine,00:00.0,COMPLETE,35,,,560,157,,,A,0,,NIL,0,1155600000
A1534,Payment,00:00.0,COMPLETE,,35,,,,,,,35,,,,1156118400
A15340,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1208563200
A15340,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1215993600
A15342,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1211414400
A15342,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1215993600
A15342,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1218067200
A15342,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1223251200
A15342,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1287100800
A15345,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1214956800
A15345,Send Fine,00:00.0,COMPLETE,,,13.5,,,,,,,,,,1221091200
A15347,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1217116800
A15347,Send Fine,00:00.0,COMPLETE,,,13.5,,,,,,,,,,1223683200
A15347,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1225152000
A15347,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1230336000
A15347,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1287100800
A15348,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1217116800
A15348,Send Fine,00:00.0,COMPLETE,,,13.5,,,,,,,,,,1223683200
A15348,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1226534400
A15348,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1231718400
A15348,Payment,00:00.0,COMPLETE,,35.5,,,,,,,35.5,,,,1239235200
A15348,Payment,00:00.0,COMPLETE,,22,,,,,,,57.5,,,,1243209600
A15349,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1217548800
A15349,Send Fine,00:00.0,COMPLETE,,,13.5,,,,,,,,,,1224547200
A15349,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1226880000
A15349,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1232064000
A15349,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1287100800
A15350,Create Fine,00:00.0,COMPLETE,22,,,558,7,,,A,0,,NIL,0,1217721600
A15350,Send Fine,00:00.0,COMPLETE,,,13.5,,,,,,,,,,1224547200
A15350,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1226880000
A15350,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1232064000
A15350,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1287100800
A15354,Create Fine,00:00.0,COMPLETE,36,,,559,7,,,A,0,,NIL,0,1183852800
A15354,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1183939200
A15355,Create Fine,00:00.0,COMPLETE,36,,,559,7,,,A,0,,NIL,0,1183852800
A15355,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15359,Create Fine,00:00.0,COMPLETE,36,,,559,7,,,A,0,,NIL,0,1183939200
A15359,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15359,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1193011200
A15359,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1198195200
A15359,Payment,00:00.0,COMPLETE,,87,,,,,,,87,,,,1222905600
A1536,Create Fine,00:00.0,COMPLETE,35,,,560,157,,,A,0,,NIL,0,1155600000
A1536,Send Fine,00:00.0,COMPLETE,,,11,,,,,,,,,,1166054400
A1536,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1166745600
A1536,Add penalty,00:00.0,COMPLETE,71.5,,,,,,,,,,,,1171929600
A1536,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15363,Create Fine,00:00.0,COMPLETE,36,,,559,157,,,A,0,,NIL,0,1183939200
A15363,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15366,Create Fine,00:00.0,COMPLETE,36,,,559,157,,,A,0,,NIL,0,1184025600
A15366,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1184630400
A15369,Create Fine,00:00.0,COMPLETE,36,,,559,157,,,A,0,,NIL,0,1184025600
A15369,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15369,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1191628800
A15369,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1196812800
A15369,Insert Date Appeal to Prefecture,00:00.0,COMPLETE,,,,,,,,,,,,,1198195200
A15369,Send Appeal to Prefecture,00:00.0,COMPLETE,,,,,,,,,,,#,,1200960000
A1537,Create Fine,00:00.0,COMPLETE,35,,,560,157,,,A,0,,NIL,0,1155600000
A1537,Payment,00:00.0,COMPLETE,,35,,,,,,,35,,,,1155686400
A15374,Create Fine,00:00.0,COMPLETE,36,,,559,157,,,A,0,,NIL,0,1184025600
A15374,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1191024000
A15379,Create Fine,00:00.0,COMPLETE,36,,,559,157,,,A,0,,NIL,0,1184198400
A15379,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1184198400
A15380,Create Fine,00:00.0,COMPLETE,36,,,559,157,,,A,0,,NIL,0,1184198400
A15380,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1184198400
A15381,Create Fine,00:00.0,COMPLETE,36,,,559,157,,,A,0,,NIL,0,1184198400
A15381,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1189641600
A15381,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1191542400
A15381,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1196726400
A15381,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15382,Create Fine,00:00.0,COMPLETE,36,,,559,157,,,A,0,,NIL,0,1184198400
A15382,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1184544000
A15384,Create Fine,00:00.0,COMPLETE,36,,,559,157,,,A,0,,NIL,0,1184198400
A15384,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1193788800
A15384,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1195776000
A15384,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1200960000
A15384,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A15385,Create Fine,00:00.0,COMPLETE,36,,,559,7,,,A,0,,NIL,0,1184198400
A15385,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1193788800
